id,order_id,product_id,quantity,unit_price
1,1,6,3,1114
2,2,5,1,2369
3,2,49,1,1786
4,2,35,3,749
5,2,50,2,1280
6,3,11,1,718
7,3,17,3,584
8,3,34,3,2387
9,3,39,3,347
10,3,28,1,1588
11,4,26,2,1238
12,4,43,2,2350
13,4,42,3,947
14,5,8,2,1439
15,5,16,1,1781
16,5,15,3,622
17,5,5,3,2369
18,6,38,1,2467
19,6,15,1,622
20,7,15,1,622
21,8,22,1,592
22,9,16,3,1781
23,9,18,1,1485
24,9,43,3,2350
25,9,32,3,1376
26,9,14,3,2496
27,10,16,1,1781
28,10,31,1,1310
29,10,27,3,1943
30,10,13,2,1383
31,11,28,3,1588
32,11,27,1,1943
33,11,30,3,2179
34,12,4,2,422
35,13,7,1,2018
36,13,16,3,1781
37,13,13,2,1383
38,14,28,2,1588
39,14,12,2,1770
40,15,5,3,2369
41,15,29,1,1920
42,16,42,3,947
43,17,6,1,1114
44,18,27,2,1943
45,18,32,1,1376
46,19,4,2,422
47,19,11,2,718
48,19,25,2,1199
49,19,1,2,756
50,20,45,3,2379
51,20,47,2,2472
52,20,36,1,2029
53,20,43,1,2350
54,21,14,3,2496
55,21,4,3,422
56,21,38,1,2467
57,22,4,3,422
58,22,38,3,2467
59,22,31,1,1310
60,23,33,1,1935
61,24,5,1,2369
62,24,39,3,347
63,25,26,3,1238
64,25,8,1,1439
65,26,39,3,347
66,26,3,3,656
67,26,40,3,2499
68,26,6,3,1114
69,26,27,2,1943
70,27,14,2,2496
71,27,43,1,2350
72,27,46,2,1831
73,28,9,2,953
74,28,43,2,2350
75,28,42,1,947
76,28,20,1,1794
77,29,40,3,2499
78,29,37,1,1863
79,29,7,3,2018
80,29,5,2,2369
81,30,23,1,2487
82,30,5,2,2369
83,31,11,3,718
84,31,29,2,1920
85,31,35,3,749
86,32,1,1,756
87,32,43,2,2350
88,32,36,1,2029
89,32,20,1,1794
90,32,7,3,2018
91,33,10,3,1438
92,33,18,2,1485
93,33,19,1,713
94,33,39,3,347
95,33,14,3,2496
96,34,33,1,1935
97,34,32,1,1376
98,34,17,3,584
99,35,18,1,1485
100,35,3,3,656
101,35,1,2,756
102,35,22,1,592
103,36,36,1,2029
104,36,46,1,1831
105,36,28,3,1588
106,36,1,1,756
107,37,3,2,656
108,37,24,1,2193
109,37,38,1,2467
110,37,36,2,2029
111,37,10,2,1438
112,38,23,1,2487
113,39,43,2,2350
114,39,7,3,2018
115,40,40,1,2499
116,40,48,1,1627
117,40,10,2,1438
118,40,16,1,1781
119,41,48,2,1627
120,41,22,3,592
121,42,18,3,1485
122,42,11,1,718
123,43,3,2,656
124,43,31,2,1310
125,43,15,2,622
126,43,13,1,1383
127,44,2,1,1303
128,44,43,2,2350
129,45,18,2,1485
130,45,5,2,2369
131,45,50,3,1280
132,46,26,1,1238
133,46,44,2,735
134,46,35,1,749
135,46,22,3,592
136,46,2,2,1303
137,47,7,3,2018
138,48,23,3,2487
139,48,47,3,2472
140,48,21,1,1158
141,48,28,2,1588
142,49,13,1,1383
143,49,17,3,584
144,49,3,3,656
145,49,46,3,1831
146,49,28,3,1588
147,50,24,1,2193
148,50,28,3,1588
149,51,40,1,2499
150,51,21,3,1158
151,51,43,2,2350
152,52,20,3,1794
153,52,43,2,2350
154,52,27,3,1943
155,52,21,1,1158
156,52,26,1,1238
157,53,43,1,2350
158,53,25,3,1199
159,53,44,3,735
160,53,48,2,1627
161,54,36,1,2029
162,54,1,2,756
163,54,20,3,1794
164,54,19,3,713
165,55,30,1,2179
166,55,29,3,1920
167,55,44,2,735
168,56,43,2,2350
169,56,6,3,1114
170,57,22,2,592
171,57,6,1,1114
172,57,49,1,1786
173,57,16,1,1781
174,57,44,1,735
175,58,16,2,1781
176,59,50,3,1280
177,59,5,1,2369
178,59,30,3,2179
179,59,27,3,1943
180,59,41,2,1693
181,60,26,3,1238
182,60,16,1,1781
183,60,10,1,1438
184,60,42,2,947
185,61,12,3,1770
186,61,45,2,2379
187,62,36,1,2029
188,63,30,1,2179
189,64,43,2,2350
190,64,34,2,2387
191,64,36,3,2029
192,64,39,3,347
193,65,28,2,1588
194,65,36,2,2029
195,65,29,2,1920
196,65,11,1,718
197,65,48,3,1627
198,66,50,3,1280
199,66,34,1,2387
200,66,32,2,1376
201,67,5,2,2369
202,67,46,2,1831
203,67,19,2,713
204,67,16,3,1781
205,68,9,1,953
206,69,25,1,1199
207,69,45,3,2379
208,70,5,2,2369
209,70,27,2,1943
210,71,30,3,2179
211,71,27,3,1943
212,71,4,1,422
213,71,14,3,2496
214,71,25,2,1199
215,72,1,2,756
216,72,23,2,2487
217,72,20,3,1794
218,72,49,3,1786
219,73,39,2,347
220,73,15,1,622
221,73,32,2,1376
222,73,18,2,1485
223,73,28,3,1588
224,74,47,3,2472
225,74,11,3,718
226,74,30,1,2179
227,74,9,2,953
228,75,37,2,1863
229,75,43,1,2350
230,75,2,2,1303
231,75,6,1,1114
232,75,42,1,947
233,76,25,2,1199
234,76,21,2,1158
235,76,14,2,2496
236,77,18,1,1485
237,77,49,2,1786
238,77,27,1,1943
239,77,17,3,584
240,78,4,3,422
241,78,23,1,2487
242,78,15,1,622
243,78,42,1,947
244,78,5,1,2369
245,79,40,1,2499
246,80,9,3,953
247,80,31,1,1310
248,81,14,2,2496
249,81,30,1,2179
250,81,45,3,2379
251,81,17,3,584
252,81,50,3,1280
253,82,50,1,1280
254,83,7,2,2018
255,83,38,3,2467
256,83,2,3,1303
257,84,26,3,1238
258,84,46,3,1831
259,84,13,3,1383
260,84,5,1,2369
261,85,45,2,2379
262,86,8,2,1439
263,86,37,3,1863
264,86,3,2,656
265,86,23,1,2487
266,86,35,3,749
267,87,1,1,756
268,87,27,2,1943
269,87,32,2,1376
270,88,46,3,1831
271,88,10,3,1438
272,88,28,3,1588
273,88,12,2,1770
274,89,35,3,749
275,89,50,3,1280
276,89,31,2,1310
277,89,30,2,2179
278,89,28,1,1588
279,90,18,2,1485
280,91,49,3,1786
281,91,30,3,2179
282,92,22,1,592
283,92,2,2,1303
284,92,32,1,1376
285,92,21,2,1158
286,93,22,3,592
287,93,18,2,1485
288,93,39,3,347
289,94,34,1,2387
290,95,16,3,1781
291,96,32,3,1376
292,96,36,2,2029
293,96,49,3,1786
294,96,16,3,1781
295,97,29,1,1920
296,97,2,2,1303
297,97,6,3,1114
298,97,19,1,713
299,98,43,2,2350
300,98,38,3,2467
301,98,24,3,2193
302,99,28,2,1588
303,99,48,2,1627
304,99,36,3,2029
305,100,45,3,1214
306,100,43,2,1849
307,100,20,3,821
308,100,12,1,2646
309,100,26,1,1045
310,101,21,2,2919
311,101,37,1,2332
312,101,10,3,618
313,101,16,3,1608
314,101,11,1,2917
315,102,29,1,1386
316,102,14,2,577
317,102,23,3,742
318,103,4,4,2094
319,104,11,4,2319
320,104,25,3,2536
321,104,25,1,2263
322,104,37,2,966
323,105,5,1,1507
324,105,2,3,1369
325,105,7,1,1700
326,105,11,4,959
327,106,36,1,1684
328,107,40,4,426
329,107,28,2,2787
330,107,28,2,519
331,107,7,3,1141
332,107,13,4,2569
333,108,17,3,1518
334,108,16,1,503
335,108,26,4,929
336,108,4,3,315
337,108,28,1,1506
338,109,31,2,697
339,109,2,2,999
340,109,41,3,635
341,109,31,1,1563
342,109,26,4,2303
343,110,6,4,1057
344,110,24,4,1813
345,110,12,4,482
346,111,29,4,1378
347,111,15,3,2611
348,111,4,2,696
349,112,43,3,2517
350,113,49,2,2567
351,113,4,4,2440
352,113,27,4,2645
353,113,16,4,1524
354,114,26,1,2356
355,115,34,2,792
356,115,49,4,1008
357,115,11,2,1089
358,115,9,1,2034
359,115,6,4,1127
360,116,39,3,1609
361,116,47,1,656
362,117,36,4,2561
363,117,21,3,2428
364,117,30,1,2852
365,117,38,4,760
366,118,10,2,2620
367,118,38,1,732
368,118,37,1,1471
369,118,35,3,1983
370,119,25,4,2643
371,119,39,4,453
372,119,12,3,1950
373,120,40,4,458
374,120,26,3,1273
375,121,48,4,1400
376,122,2,3,1541
377,122,20,3,2313
378,122,45,1,1233
379,123,20,4,1614
380,123,18,4,2777
381,124,13,4,1165
382,125,48,4,2415
383,125,24,1,2410
384,125,11,1,1574
385,125,46,4,855
386,126,37,1,1011
387,126,13,2,536
388,126,16,1,2169
389,126,4,3,1115
390,126,18,3,2201
391,127,26,1,425
392,127,16,3,2302
393,127,39,4,1027
394,127,31,3,1710
395,127,11,3,670
396,128,2,4,503
397,128,11,2,1206
398,128,42,2,1146
399,129,42,4,2402
400,129,2,1,2241
401,129,9,2,2762
402,130,15,3,2791
403,131,46,3,2035
404,131,25,3,2180
405,131,17,2,2211
406,132,44,4,2694
407,132,7,1,2395
408,132,43,3,2599
409,133,39,3,1522
410,133,44,1,2273
411,133,5,3,1432
412,133,41,3,1434
413,133,17,3,1071
414,134,34,2,532
415,134,39,4,1609
416,135,47,1,2984
417,135,32,3,1362
418,136,26,4,444
419,136,38,2,1705
420,136,47,2,2489
421,136,41,4,1768
422,137,20,2,2993
423,137,36,2,1503
424,137,7,4,824
425,137,48,3,2589
426,137,49,2,1674
427,138,15,3,1214
428,139,27,3,1822
429,139,17,3,2199
430,139,8,4,519
431,140,38,1,2234
432,140,13,1,1863
433,140,34,3,1992
434,140,4,2,862
435,140,13,3,1976
436,141,30,2,1595
437,141,46,2,631
438,141,32,3,2884
439,141,12,3,2898
440,141,4,1,2151
441,142,14,2,2660
442,142,49,2,2305
443,142,49,1,830
444,143,28,4,1952
445,143,28,4,1870
446,143,1,1,2486
447,143,13,3,357
448,143,21,2,373
449,144,41,2,1226
450,145,20,2,720
451,145,25,3,984
452,145,5,1,1521
453,146,30,3,2076
454,146,44,2,1703
455,146,32,3,1071
456,147,26,1,1235
457,147,15,2,1165
458,148,38,2,804
459,149,46,1,1836
460,149,41,3,2490
461,149,40,1,2732
462,150,43,1,2977
463,151,4,1,2007
464,152,25,1,2541
465,152,17,4,927
466,152,14,1,1533
467,152,27,1,2431
468,153,40,2,2015
469,153,7,1,1457
470,153,8,1,2338
471,154,39,2,1377
472,154,34,2,1766
473,155,19,2,461
474,155,36,4,1150
475,155,45,4,1654
476,155,16,1,352
477,156,8,4,910
478,157,50,1,714
479,158,42,2,2170
480,158,19,3,2201
481,158,4,1,1015
482,159,19,3,1580
483,160,48,1,689
484,160,49,1,339
485,160,9,2,1646
486,160,23,4,2846
487,161,47,1,1826
488,161,22,2,766
489,161,26,4,2169
490,162,25,4,2027
491,162,42,2,763
492,162,9,1,952
493,163,27,4,2630
494,164,12,4,1768
495,164,40,1,835
496,164,31,4,762
497,164,27,4,488
498,165,17,3,350
499,166,50,2,1685
500,166,34,1,2072
501,166,43,2,2273
502,166,23,4,908
503,166,36,1,347
504,167,33,4,2330
505,167,11,1,2313
506,168,16,3,1439
507,168,4,2,2554
508,168,42,4,1951
509,169,6,4,2119
510,169,37,4,660
511,170,29,3,786
512,170,32,1,720
513,170,26,4,446
514,170,36,1,672
515,171,40,3,2382
516,171,36,2,2981
517,171,43,4,1696
518,171,24,1,1213
519,171,30,3,2594
520,172,39,4,2991
521,172,24,4,767
522,172,7,2,308
523,172,22,3,2895
524,172,19,3,735
525,173,11,4,875
526,174,7,3,2802
527,174,13,2,794
528,174,26,2,2172
529,174,13,3,741
530,175,3,1,2145
531,175,30,2,2343
532,175,1,1,2566
533,175,28,4,2382
534,176,45,2,825
535,176,7,4,2993
536,177,39,3,2364
537,177,25,4,2794
538,177,45,2,1420
539,177,26,3,1504
540,177,29,2,865
541,178,39,3,2543
542,178,21,2,1122
543,178,14,3,1714
544,178,44,2,2962
545,179,33,3,772
546,179,49,3,2603
547,180,38,4,2486
548,180,19,4,352
549,180,34,1,403
550,180,25,2,517
551,181,13,3,959
552,182,44,3,899
553,182,4,3,1135
554,182,49,1,1769
555,183,7,2,2950
556,183,36,4,1273
