order_id,promotion_id
1,5
4,11
5,5
10,9
11,3
14,3
19,8
24,2
29,4
36,1
38,9
41,10
42,14
43,2
44,7
45,11
46,3
47,12
48,11
52,6
53,2
55,9
57,14
59,4
62,8
64,9
65,5
66,12
67,1
70,3
71,1
73,14
75,2
77,15
80,14
81,8
82,9
83,4
88,13
90,13
93,5
98,8
99,9
103,14
108,1
109,11
112,9
113,3
115,9
118,9
119,12
122,2
125,13
126,15
128,13
129,15
135,13
142,5
143,5
145,11
146,10
150,15
158,1
159,2
166,2
167,9
170,4
183,13
185,13
190,12
192,14
193,13
198,5
200,15
203,1
204,11
206,4
209,12
211,4
214,4
215,1
217,4
219,13
221,3
222,14
223,8
228,7
230,4
234,3
238,15
239,15
240,10
241,15
243,10
246,7
248,8
252,13
253,4
257,14
259,3
260,4
261,9
262,2
265,12
266,3
269,13
271,9
272,9
273,4
280,1
282,4
284,12
285,9
289,2
290,6
292,14
297,1
298,12
301,13
302,2
305,2
307,11
309,12
310,1
311,6
313,13
314,11
320,9
323,2
325,5
327,6
348,6
352,9
353,11
357,10
359,13
360,13
361,11
362,14
363,3
366,15
369,2
370,15
373,5
374,11
376,8
377,4
380,9
381,7
385,10
386,12
389,12
393,13
394,6
395,14
399,2
403,11
406,13
408,3
411,6
415,12
423,9
424,1
425,12
428,9
430,6
431,3
433,1
434,6
436,1
437,5
439,4
440,14
442,5
444,2
452,13
455,4
457,4
460,4
466,13
468,6
469,2
474,15
476,4
477,13
480,2
482,9
483,4
484,6
486,5
487,14
488,2
489,15
492,4
494,6
501,5
509,4
511,4
512,9
520,12
524,14
527,4
531,1
534,7
535,1
536,4
537,1
541,2
542,13
547,2
548,13
550,6
556,8
559,10
563,1
567,8
568,6
571,9
572,9
577,1
580,1
581,1
583,10
584,13
587,12
588,5
591,12
593,7
594,10
595,14
596,5
597,11
598,10
599,11
600,14
602,5
604,10
606,4
610,15
612,14
617,14
619,13
620,7
622,1
624,9
628,15
631,5
633,4
636,10
637,11
639,3
640,9
641,14
642,5
643,15
646,3
647,10
648,6
650,13
654,7
655,2
656,7
659,15
660,1
662,2
663,11
664,13
668,13
670,13
674,5
675,5
676,1
677,14
678,8
679,1
681,7
682,15
683,2
684,2
685,13
690,14
691,14
693,7
695,5
697,2
698,6
702,4
703,8
704,11
706,4
707,5
713,8
714,12
716,11
720,12
721,12
722,8
723,15
726,10
728,1
736,15
738,3
740,7
745,15
746,11
748,1
752,11
756,7
760,5
763,3
764,6
766,5
768,2
773,14
779,11
781,2
786,9
787,2
788,5
790,3
793,13
794,10
796,14
797,14
798,4
799,14
802,7
805,12
807,10
809,7
810,2
812,7
813,8
816,3
817,1
822,3
825,2
826,11
827,6
830,15
834,9
835,15
837,3
844,5
846,9
851,1
852,13
854,12
856,7
857,10
858,5
862,6
863,10
865,11
868,9
870,15
872,2
875,7
879,3
881,5
884,12
885,8
890,15
893,14
894,6
897,1
898,9
903,4
905,15
907,6
908,7
910,11
913,3
916,6
917,5
919,7
923,10
925,11
926,11
931,14
932,9
933,15
938,15
942,8
944,7
949,4
951,11
954,9
956,6
958,8
960,14
965,14
969,15
970,9
971,2
972,2
973,10
977,10
979,2
980,4
985,4
987,6
988,4
989,8
990,9
992,8
993,1
995,14
997,13
999,13
